person_id,age,age_group,gender,road_user
509,62,41-65,Male,Motorcycle rider
510,82,65+,Male,Motorcycle rider
511,37,26-40,Male,Pedal cyclist
512,44,41-65,Female,Pedestrian
513,9,0-17,Female,Pedestrian
514,47,41-65,Male,Pedestrian
515,75,65+,Male,Motorcycle rider
516,58,41-65,Female,Driver
517,77,65+,Female,Passenger
518,31,26-40,Female,Motorcycle pillion passenger
519,5,0-17,Female,Passenger
520,88,65+,Female,Passenger
521,82,65+,Male,Pedestrian
522,82,65+,Male,Pedal cyclist
523,39,26-40,Male,Passenger
524,78,65+,Male,Pedal cyclist
525,84,65+,Male,Pedestrian
526,90,65+,Male,Passenger
527,67,65+,Male,Motorcycle rider
528,58,41-65,Male,Pedestrian
529,72,65+,Male,Pedal cyclist
530,61,41-65,Male,
531,100,65+,Female,Passenger
532,75,65+,Male,Passenger
533,84,65+,Female,Passenger
534,86,65+,Male,Passenger
535,84,65+,Female,Pedestrian
536,70,65+,Male,Passenger
537,5,0-17,Female,
538,4,0-17,Female,
539,1,0-17,Female,
540,9,0-17,Female,
541,33,26-40,Male,Passenger
542,37,26-40,Female,Passenger
543,56,41-65,Male,Passenger
544,87,65+,Female,Pedestrian
545,55,41-65,Male,Passenger
546,8,0-17,Female,Passenger
547,18,18-25,Female,Motorcycle rider
548,35,26-40,Female,Motorcycle pillion passenger
549,88,65+,Female,Pedestrian
550,25,26-40,Male,Pedestrian
551,86,65+,Female,Passenger
552,32,26-40,Male,Passenger
553,71,65+,Male,Pedestrian
554,10,0-17,Male,Passenger
555,36,26-40,Male,Passenger
556,66,65+,Female,Pedestrian
557,69,65+,Female,Passenger
558,73,65+,Male,Passenger
559,73,65+,Female,Passenger
560,49,41-65,Female,Motorcycle rider
561,48,41-65,Male,Pedestrian
562,86,65+,Female,Pedestrian
563,26,26-40,Male,Pedal cyclist
564,91,65+,Male,Passenger
565,24,18-25,Male,Pedestrian
566,44,41-65,Male,Passenger
567,52,41-65,Female,Passenger
568,41,41-65,Male,Pedal cyclist
569,17,18-25,Female,Pedal cyclist
570,5,0-17,Male,Pedestrian
571,67,65+,Male,Pedal cyclist
572,34,26-40,Female,Driver
573,59,41-65,Male,Pedal cyclist
574,60,41-65,Male,
575,46,41-65,Male,Pedestrian
576,0,0-17,Male,Pedestrian
577,30,26-40,Female,Passenger
578,35,26-40,Male,Passenger
579,26,26-40,Female,Pedestrian
580,55,41-65,Male,Pedestrian
581,73,65+,Male,Pedal cyclist
582,69,65+,Male,Passenger
583,14,0-17,Female,Passenger
584,22,18-25,Male,Pedal cyclist
585,42,41-65,Female,Passenger
586,92,65+,Male,Driver
587,56,41-65,Female,Pedestrian
588,41,41-65,Male,Pedestrian
589,16,0-17,Female,Pedestrian
590,23,18-25,Female,Motorcycle rider
591,87,65+,Female,Passenger
592,45,41-65,Male,Pedestrian
593,86,65+,Male,Pedestrian
594,36,26-40,Female,Driver
595,12,0-17,Male,Passenger
596,23,18-25,Male,Pedestrian
597,88,65+,Female,Driver
598,71,65+,Female,Driver
599,0,0-17,Female,Passenger
600,94,65+,Male,Passenger
601,51,41-65,Female,Passenger
602,87,65+,Female,Driver
603,81,65+,Female,Driver
604,86,65+,Female,Driver
605,18,18-25,Male,Pedal cyclist
606,89,65+,Male,Passenger
607,83,65+,Male,Motorcycle rider
608,93,65+,Male,Passenger
609,99,65+,Female,Pedestrian
610,57,41-65,Female,Motorcycle rider
611,14,0-17,Male,Pedestrian
612,68,65+,Male,Pedal cyclist
613,54,41-65,Female,Motorcycle pillion passenger
614,61,41-65,Female,Motorcycle rider
615,43,41-65,Female,Driver
616,51,41-65,Male,Passenger
617,19,18-25,Female,Motorcycle rider
618,75,65+,Female,Pedestrian
619,45,41-65,Male,Pedal cyclist
620,64,41-65,Female,Driver
621,4,0-17,Female,Passenger
622,83,65+,Male,Pedal cyclist
623,40,41-65,Male,Passenger
624,1,0-17,Female,Passenger
625,47,41-65,Male,Passenger
626,53,41-65,Male,Passenger
627,48,41-65,Male,Passenger
628,80,65+,Male,Passenger
629,95,65+,Female,Pedestrian
630,79,65+,Male,Passenger
631,53,41-65,Female,Pedestrian
632,25,26-40,Female,Pedestrian
633,60,41-65,Male,Pedestrian
634,98,65+,Female,Passenger
635,34,26-40,Male,Pedestrian
636,96,65+,Female,Passenger
637,37,26-40,Female,Motorcycle pillion passenger
638,46,41-65,Male,Passenger
639,55,41-65,Male,Pedal cyclist
640,29,26-40,Male,Pedal cyclist
641,52,41-65,Female,Pedestrian
642,100,65+,Male,Passenger
643,72,65+,Female,Pedestrian
644,47,41-65,Female,Motorcycle rider
645,8,0-17,Male,Pedestrian
646,4,0-17,Female,Pedestrian
647,89,65+,Male,Driver
648,37,26-40,,Motorcycle rider
649,28,26-40,Female,
650,33,26-40,Female,
651,15,0-17,Male,Pedestrian
652,86,65+,Male,Pedal cyclist
653,75,65+,Male,Pedal cyclist
654,61,41-65,Male,Passenger
655,56,41-65,Male,Pedal cyclist
656,19,18-25,Female,
657,94,65+,Female,Driver
658,53,41-65,Male,Motorcycle pillion passenger
659,72,65+,Male,Passenger
660,88,65+,Male,Passenger
661,67,65+,Female,Passenger
662,39,26-40,Female,Passenger
663,22,18-25,Male,Motorcycle pillion passenger
664,1,0-17,Male,Pedestrian
665,52,41-65,Female,Motorcycle rider
666,45,41-65,Female,Pedal cyclist
667,7,0-17,Male,Passenger
668,13,0-17,Male,Driver
669,38,26-40,Female,Pedestrian
670,3,0-17,Male,Pedestrian
671,49,41-65,Female,Passenger
672,36,26-40,Female,
673,47,41-65,Male,
674,52,41-65,Male,Passenger
675,19,18-25,Male,Pedestrian
676,47,41-65,Female,Pedal cyclist
677,46,41-65,Male,
678,19,18-25,Female,Motorcycle pillion passenger
679,92,65+,Male,Pedestrian
680,70,65+,Female,Pedal cyclist
681,56,41-65,Male,
682,54,41-65,Female,Pedestrian
683,44,41-65,Male,Pedal cyclist
684,93,65+,Female,Passenger
685,27,26-40,Female,Motorcycle pillion passenger
686,32,26-40,Male,Motorcycle pillion passenger
687,90,65+,Female,Pedestrian
688,12,0-17,Female,Pedestrian
689,80,65+,Male,Pedal cyclist
690,51,41-65,Female,Pedestrian
691,98,65+,Female,Driver
692,72,65+,Female,Passenger
693,80,65+,Male,Motorcycle rider
694,39,26-40,Male,Motorcycle pillion passenger
695,23,18-25,Female,Pedestrian
696,74,65+,Male,Pedal cyclist
697,2,0-17,Female,Passenger
698,20,18-25,Male,Pedal cyclist
699,89,65+,Male,Pedal cyclist
700,81,65+,Male,Motorcycle rider
701,89,65+,Male,Pedestrian
702,79,65+,Male,Pedal cyclist
703,84,65+,Female,Motorcycle rider
704,88,65+,Male,
705,57,41-65,Female,Pedestrian
706,54,41-65,Male,Pedestrian
707,17,18-25,Female,Motorcycle pillion passenger
708,65,65+,Male,Passenger
709,94,65+,Female,Passenger
710,55,41-65,Female,Passenger
711,60,41-65,Male,Pedal cyclist
712,68,65+,Male,Pedestrian
713,58,41-65,Female,Passenger
714,85,65+,Male,Passenger
715,19,18-25,Male,
716,28,26-40,Female,Pedestrian
717,52,41-65,Male,Pedal cyclist
718,63,41-65,Female,Pedal cyclist
719,6,0-17,Female,Passenger
720,91,65+,Female,Driver
721,1,0-17,Male,Passenger
722,46,41-65,Female,Passenger
723,40,41-65,Female,Motorcycle rider
724,67,65+,Male,Passenger
725,79,65+,Female,Pedal cyclist
726,84,65+,Male,Pedal cyclist
727,88,65+,Male,Pedestrian
728,64,41-65,Male,Passenger
729,48,41-65,Female,
730,54,41-65,Male,
731,14,0-17,Female,Driver
732,14,0-17,Female,Pedestrian
733,10,0-17,Female,Passenger
734,25,26-40,Male,Pedal cyclist
735,41,41-65,Female,Pedal cyclist
736,93,65+,Male,Pedestrian
