location_id,state,lga_name,sa4_name,remoteness_area,population_2023_lga,population_2023_remoteness,dwelling_records
173,Vic,Greater Shepparton,Shepparton,Inner Regional Australia,69135.0,4683975.0,28885.0
174,Vic,Moreland,Melbourne - North West,Major Cities of Australia,,19343743.0,78310.0
175,NSW,Narrandera,Riverina,Outer Regional Australia,5692.0,2119123.0,2694.0
176,Tas,Huon Valley,South East,Outer Regional Australia,19454.0,2119123.0,8767.0
177,Qld,Townsville,Townsville,Outer Regional Australia,201433.0,2119123.0,83412.0
178,NSW,Griffith,Riverina,Outer Regional Australia,27132.0,2119123.0,10833.0
179,Vic,Wodonga,Hume,Inner Regional Australia,44276.0,4683975.0,18214.0
180,NSW,Mid-Coast,Hunter Valley exc Newcastle,Inner Regional Australia,97909.0,4683975.0,50474.0
181,Vic,Darebin,Melbourne - Inner,Major Cities of Australia,155683.0,19343743.0,68366.0
182,Vic,Ballarat,Ballarat,Inner Regional Australia,118137.0,4683975.0,50347.0
183,NSW,Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,53109.0,4683975.0,23623.0
184,Vic,Cardinia,Melbourne - South East,Inner Regional Australia,126960.0,4683975.0,43533.0
185,Vic,Maroondah,Melbourne - Outer East,Major Cities of Australia,117434.0,19343743.0,46937.0
186,NSW,Tweed,Richmond - Tweed,Major Cities of Australia,98967.0,19343743.0,44661.0
187,Qld,North Burnett,Wide Bay,Outer Regional Australia,10352.0,2119123.0,5494.0
188,NSW,Moree Plains,New England and North West,Remote Australia,12873.0,304013.0,6230.0
189,Vic,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,170243.0,19343743.0,93602.0
190,SA,Unley,Adelaide - Central and Hills,Major Cities of Australia,39929.0,19343743.0,17360.0
191,SA,Alexandrina,South Australia - South East,Inner Regional Australia,30323.0,4683975.0,16760.0
192,Qld,Gympie,Wide Bay,Outer Regional Australia,56166.0,2119123.0,24767.0
193,Vic,Melton,Melbourne - West,Major Cities of Australia,206070.0,19343743.0,60363.0
194,Qld,Burdekin,Townsville,Outer Regional Australia,17020.0,2119123.0,8259.0
195,Vic,Knox,Melbourne - Outer East,Major Cities of Australia,161766.0,19343743.0,62012.0
196,Vic,Whittlesea,Melbourne - North East,Inner Regional Australia,245029.0,4683975.0,82993.0
197,Vic,Monash,Melbourne - South East,Major Cities of Australia,203560.0,19343743.0,76463.0
198,NSW,Unincorporated,Far West and Orana,Very Remote Australia,,198024.0,
199,Qld,Barcaldine,Queensland - Outback,Very Remote Australia,2894.0,198024.0,1896.0
200,Vic,Wyndham,Melbourne - West,Major Cities of Australia,324087.0,19343743.0,100363.0
201,NSW,Glen Innes Severn,New England and North West,Outer Regional Australia,8989.0,2119123.0,4610.0
202,Qld,Brisbane,Brisbane - West,Major Cities of Australia,1323162.0,19343743.0,519431.0
203,NSW,Northern Beaches,Sydney - Northern Beaches,Major Cities of Australia,267921.0,19343743.0,105115.0
204,Qld,Livingstone,Central Queensland,Outer Regional Australia,41906.0,2119123.0,17841.0
205,Vic,Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,158694.0,19343743.0,61574.0
206,Qld,Cook,Queensland - Outback,Very Remote Australia,4761.0,198024.0,3163.0
207,Tas,Clarence,Hobart,Inner Regional Australia,63663.0,4683975.0,25894.0
208,NSW,Georges River,Sydney - Inner South West,Major Cities of Australia,158051.0,19343743.0,58429.0
209,NSW,Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,95957.0,19343743.0,35456.0
210,NSW,Greater Hume,Murray,Inner Regional Australia,11445.0,4683975.0,
211,Vic,Kingston (Vic.),Melbourne - South East,Major Cities of Australia,163724.0,19343743.0,67622.0
212,Vic,Manningham,Melbourne - Inner East,Major Cities of Australia,129514.0,19343743.0,49918.0
213,NSW,Bathurst Regional,Central West,Inner Regional Australia,,4683975.0,18458.0
214,SA,Wudinna,South Australia - Outback,Remote Australia,1161.0,304013.0,616.0
215,NSW,Inverell,New England and North West,Outer Regional Australia,18059.0,2119123.0,8137.0
216,Vic,Brimbank,Melbourne - West,Major Cities of Australia,196046.0,19343743.0,71871.0
217,Vic,Darebin,Melbourne - North East,Major Cities of Australia,155683.0,19343743.0,68366.0
218,SA,Charles Sturt,Adelaide - West,Major Cities of Australia,127440.0,19343743.0,54847.0
219,Tas,Flinders (Tas.),Launceston and North East,Very Remote Australia,933.0,198024.0,689.0
220,Tas,Burnie,West and North West,Outer Regional Australia,20463.0,2119123.0,9274.0
221,Vic,Greater Geelong,Geelong,Major Cities of Australia,282809.0,19343743.0,120823.0
222,SA,Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,41842.0,19343743.0,16270.0
223,SA,Onkaparinga,Adelaide - South,Inner Regional Australia,180865.0,4683975.0,75493.0
224,Vic,Stonnington,Melbourne - Inner South,Major Cities of Australia,111335.0,19343743.0,59609.0
225,Tas,Launceston,Launceston and North East,Outer Regional Australia,71788.0,2119123.0,31369.0
226,Vic,Indigo,Hume,Inner Regional Australia,17662.0,4683975.0,7750.0
227,Vic,Yarra,Melbourne - Inner,Major Cities of Australia,97448.0,19343743.0,50059.0
228,Vic,Port Phillip,Melbourne - Inner,Major Cities of Australia,109515.0,19343743.0,63301.0
229,NT,Unknown,Unknown,Unknown,,,
230,Tas,Waratah-Wynyard,West and North West,Outer Regional Australia,14767.0,2119123.0,6909.0
231,Vic,Campaspe,Shepparton,Inner Regional Australia,38299.0,4683975.0,17840.0
232,NT,Barkly,Northern Territory - Outback,Very Remote Australia,7239.0,198024.0,2932.0
233,NSW,Blacktown,Sydney - Parramatta,Major Cities of Australia,426202.0,19343743.0,133984.0
234,NSW,Blayney,Central West,Inner Regional Australia,7644.0,4683975.0,3246.0
235,SA,Campbelltown (SA),Adelaide - Central and Hills,Major Cities of Australia,57160.0,19343743.0,23247.0
236,Vic,Latrobe (Vic.),Latrobe - Gippsland,Inner Regional Australia,78154.0,4683975.0,35685.0
237,NT,Palmerston,Darwin,Outer Regional Australia,41113.0,2119123.0,14542.0
238,NSW,Gunnedah,New England and North West,Outer Regional Australia,13280.0,2119123.0,5842.0
239,Tas,Break O'Day,Launceston and North East,Outer Regional Australia,,2119123.0,4850.0
240,Vic,Buloke,North West,Outer Regional Australia,6040.0,2119123.0,3397.0
241,Vic,West Wimmera,North West,Outer Regional Australia,3933.0,2119123.0,2255.0
242,NSW,Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,126983.0,19343743.0,45894.0
243,Vic,Casey,Melbourne - South East,Inner Regional Australia,392110.0,4683975.0,122674.0
244,NSW,Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,109895.0,4683975.0,58799.0
245,Vic,Warrnambool,Warrnambool and South West,Inner Regional Australia,35907.0,4683975.0,16025.0
246,NSW,Berrigan,Murray,Inner Regional Australia,8643.0,4683975.0,4265.0
247,NSW,Warren,Far West and Orana,Remote Australia,2583.0,304013.0,1228.0
248,NT,Victoria Daly,Northern Territory - Outback,Very Remote Australia,3295.0,198024.0,1232.0
249,Vic,Moira,Shepparton,Inner Regional Australia,30775.0,4683975.0,14948.0
250,Qld,Brisbane,Brisbane - North,Major Cities of Australia,1323162.0,19343743.0,519431.0
251,SA,Berri Barmera,South Australia - South East,Outer Regional Australia,10730.0,2119123.0,5257.0
252,Vic,Moonee Valley,Melbourne - Inner,Major Cities of Australia,126486.0,19343743.0,55115.0
253,NT,Litchfield,Darwin,Outer Regional Australia,23415.0,2119123.0,8883.0
254,Vic,Greater Dandenong,Melbourne - South East,Major Cities of Australia,163792.0,19343743.0,58198.0
255,Vic,Golden Plains,Geelong,Inner Regional Australia,25818.0,4683975.0,9408.0
256,Qld,Toowoomba,Darling Downs - Maranoa,Outer Regional Australia,181821.0,2119123.0,74054.0
257,Vic,Moonee Valley,Melbourne - North West,Major Cities of Australia,126486.0,19343743.0,55115.0
258,SA,Onkaparinga,Adelaide - South,Major Cities of Australia,180865.0,19343743.0,75493.0
259,NSW,Inner West,Sydney - Inner West,Major Cities of Australia,188325.0,19343743.0,85462.0
260,SA,Whyalla,South Australia - Outback,Outer Regional Australia,21902.0,2119123.0,11247.0
261,Qld,Rockhampton,Central Queensland,Outer Regional Australia,84517.0,2119123.0,35813.0
262,SA,Unincorporated SA,South Australia - Outback,Remote Australia,3015.0,304013.0,2910.0
263,Qld,Gladstone,Central Queensland,Inner Regional Australia,66835.0,4683975.0,29868.0
264,Qld,Noosa,Sunshine Coast,Inner Regional Australia,58367.0,4683975.0,28715.0
265,Qld,Mount Isa,Queensland - Outback,Remote Australia,18945.0,304013.0,9053.0
266,Vic,Kingston (Vic.),Melbourne - Inner South,Major Cities of Australia,163724.0,19343743.0,67622.0
267,Qld,Toowoomba,Darling Downs - Maranoa,Inner Regional Australia,181821.0,4683975.0,74054.0
268,Vic,Maribyrnong,Melbourne - West,Major Cities of Australia,91762.0,19343743.0,40501.0
269,SA,Marion,Adelaide - South,Major Cities of Australia,98493.0,19343743.0,41654.0
270,Qld,Gold Coast,Gold Coast,Inner Regional Australia,666087.0,4683975.0,270761.0
271,Vic,Mildura,North West,Outer Regional Australia,57554.0,2119123.0,25371.0
272,NSW,Hornsby,Sydney - North Sydney and Hornsby,Inner Regional Australia,154072.0,4683975.0,55952.0
273,Vic,Mansfield,Hume,Outer Regional Australia,10546.0,2119123.0,6619.0
274,Qld,Charters Towers,Townsville,Very Remote Australia,12013.0,198024.0,5974.0
275,NSW,Richmond Valley,Richmond - Tweed,Inner Regional Australia,23705.0,4683975.0,10692.0
276,NSW,Sutherland,Sydney - Sutherland,Inner Regional Australia,235029.0,4683975.0,
277,NSW,Mid-Western Regional,Central West,Inner Regional Australia,,4683975.0,12262.0
278,Vic,Hume,Melbourne - North West,Major Cities of Australia,262764.0,19343743.0,83980.0
279,NSW,Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,174294.0,19343743.0,74585.0
280,Tas,West Tamar,Launceston and North East,Inner Regional Australia,26039.0,4683975.0,11308.0
281,Vic,Glen Eira,Melbourne - Inner South,Major Cities of Australia,156837.0,19343743.0,66235.0
282,Qld,Sunshine Coast,Sunshine Coast,Inner Regional Australia,365942.0,4683975.0,149005.0
283,Vic,Nillumbik,Melbourne - North East,Major Cities of Australia,63264.0,19343743.0,22406.0
284,Vic,Yarriambiack,North West,Remote Australia,6389.0,304013.0,3598.0
285,Vic,Pyrenees,Ballarat,Inner Regional Australia,7786.0,4683975.0,3939.0
286,NSW,Unincorporated,Far West and Orana,Remote Australia,,304013.0,
287,NSW,Strathfield,Sydney - Inner South West,Major Cities of Australia,47824.0,19343743.0,18287.0
288,NSW,Bayside,Sydney - Inner South West,Major Cities of Australia,,19343743.0,
289,NSW,Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,80489.0,4683975.0,34696.0
290,NSW,Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,219249.0,4683975.0,88908.0
291,Qld,Bundaberg,Wide Bay,Outer Regional Australia,104166.0,2119123.0,46081.0
292,SA,Mid Murray,South Australia - South East,Inner Regional Australia,9496.0,4683975.0,7413.0
