fact_crash_id,crash_id,date_id,holiday_id,location_id,road_id,vehicle_id,crash_type_id,number_fatalities,crash_count
19982342,19982342,840,2,66,17,1,2,1,1
19981028,19981028,840,2,797,30,11,1,1,1
19981122,19981122,840,1,797,30,11,2,1,1
19983228,19983228,840,1,778,30,11,1,1,1
19984118,19984118,840,2,803,30,11,2,1,1
19981465,19981465,840,2,797,16,11,1,1,1
19985046,19985046,840,2,7,16,11,1,1,1
19983125,19983125,840,2,778,16,11,1,1,1
19981482,19981482,840,1,797,30,11,1,1,1
19982109,19982109,840,1,66,30,1,1,1,1
19982024,19982024,840,1,66,30,1,1,1,1
19982099,19982099,840,1,66,16,1,2,2,1
19984139,19984139,840,2,803,14,12,2,1,1
19981389,19981389,827,2,797,14,11,1,1,1
19981202,19981202,827,2,797,17,11,2,1,1
19985155,19985155,827,2,7,30,11,1,1,1
19985149,19985149,827,2,7,6,11,1,1,1
19982194,19982194,827,2,66,16,1,2,1,1
19985065,19985065,827,2,7,17,12,2,1,1
19982185,19982185,827,2,66,30,2,2,1,1
19984092,19984092,827,2,803,16,11,1,1,1
19984125,19984125,827,2,803,17,11,1,1,1
19984109,19984109,827,2,803,14,11,2,1,1
19983206,19983206,827,2,778,30,11,1,1,1
19982123,19982123,827,2,66,17,1,2,1,1
19982209,19982209,827,2,66,17,1,1,1,1
19985105,19985105,827,2,7,21,11,1,1,1
19983181,19983181,827,2,778,16,11,1,1,1
19987014,19987014,827,2,229,16,11,2,1,1
19985199,19985199,827,2,7,17,11,1,1,1
19982034,19982034,827,2,66,30,1,1,1,1
19985172,19985172,827,2,7,16,11,2,1,1
19982026,19982026,828,2,66,14,2,2,1,1
19982021,19982021,828,2,66,30,1,2,1,1
19983182,19983182,828,2,778,17,11,1,1,1
19981200,19981200,828,2,797,16,11,1,1,1
19982140,19982140,828,2,66,16,1,1,1,1
19983031,19983031,828,2,778,17,14,2,2,1
19981032,19981032,828,2,797,30,11,1,1,1
19982004,19982004,828,2,66,30,1,2,1,1
19985181,19985181,828,2,7,6,11,1,1,1
19981352,19981352,828,2,797,30,12,1,1,1
19982102,19982102,828,2,66,17,1,2,1,1
19985139,19985139,828,2,7,6,11,1,2,1
19983226,19983226,828,2,778,16,11,2,1,1
19983114,19983114,828,2,778,16,11,2,1,1
19984128,19984128,828,2,803,14,12,2,1,1
