person_id,age,age_group,gender,road_user
523,70,65+,Male,Passenger
524,5,0-17,Female,
525,4,0-17,Female,
526,1,0-17,Female,
527,9,0-17,Female,
528,33,26-40,Male,Passenger
529,37,26-40,Female,Passenger
530,56,41-65,Male,Passenger
531,87,65+,Female,Pedestrian
532,55,41-65,Male,Passenger
533,8,0-17,Female,Passenger
534,18,18-25,Female,Motorcycle rider
535,35,26-40,Female,Motorcycle pillion passenger
536,88,65+,Female,Pedestrian
537,25,26-40,Male,Pedestrian
538,86,65+,Female,Passenger
539,32,26-40,Male,Passenger
540,71,65+,Male,Pedestrian
541,10,0-17,Male,Passenger
542,36,26-40,Male,Passenger
543,66,65+,Female,Pedestrian
544,69,65+,Female,Passenger
545,73,65+,Male,Passenger
546,73,65+,Female,Passenger
547,49,41-65,Female,Motorcycle rider
548,48,41-65,Male,Pedestrian
549,86,65+,Female,Pedestrian
550,26,26-40,Male,Pedal cyclist
551,91,65+,Male,Passenger
552,24,18-25,Male,Pedestrian
553,44,41-65,Male,Passenger
554,52,41-65,Female,Passenger
555,41,41-65,Male,Pedal cyclist
556,17,18-25,Female,Pedal cyclist
557,5,0-17,Male,Pedestrian
558,67,65+,Male,Pedal cyclist
559,34,26-40,Female,Driver
560,59,41-65,Male,Pedal cyclist
561,60,41-65,Male,
562,46,41-65,Male,Pedestrian
563,0,0-17,Male,Pedestrian
564,30,26-40,Female,Passenger
565,35,26-40,Male,Passenger
566,26,26-40,Female,Pedestrian
567,55,41-65,Male,Pedestrian
568,62,41-65,Female,Pedestrian
569,73,65+,Male,Pedal cyclist
570,69,65+,Male,Passenger
571,14,0-17,Female,Passenger
572,22,18-25,Male,Pedal cyclist
573,42,41-65,Female,Pedestrian
574,42,41-65,Female,Passenger
575,92,65+,Male,Driver
576,56,41-65,Female,Pedestrian
577,41,41-65,Male,Pedestrian
578,16,0-17,Female,Pedestrian
579,23,18-25,Female,Motorcycle rider
580,87,65+,Female,Passenger
581,45,41-65,Male,Pedestrian
582,86,65+,Male,Pedestrian
583,36,26-40,Female,Driver
584,12,0-17,Male,Passenger
585,23,18-25,Male,Pedestrian
586,88,65+,Female,Driver
587,71,65+,Female,Driver
588,0,0-17,Female,Passenger
589,94,65+,Male,Passenger
590,51,41-65,Female,Passenger
591,87,65+,Female,Driver
592,81,65+,Female,Driver
593,86,65+,Female,Driver
594,18,18-25,Male,Pedal cyclist
595,89,65+,Male,Passenger
596,83,65+,Male,Motorcycle rider
597,93,65+,Male,Passenger
598,99,65+,Female,Pedestrian
599,57,41-65,Female,Motorcycle rider
600,14,0-17,Male,Pedestrian
601,68,65+,Male,Pedal cyclist
602,54,41-65,Female,Motorcycle pillion passenger
603,61,41-65,Female,Motorcycle rider
604,43,41-65,Female,Driver
605,51,41-65,Male,Passenger
606,75,65+,Female,Pedestrian
607,45,41-65,Male,Pedal cyclist
608,64,41-65,Female,Driver
609,4,0-17,Female,Passenger
610,83,65+,Male,Pedal cyclist
611,40,41-65,Male,Passenger
612,1,0-17,Female,Passenger
613,47,41-65,Male,Passenger
614,53,41-65,Male,Passenger
615,48,41-65,Male,Passenger
616,80,65+,Male,Passenger
617,95,65+,Female,Pedestrian
618,79,65+,Male,Passenger
619,53,41-65,Female,Pedestrian
620,25,26-40,Female,Pedestrian
621,60,41-65,Male,Pedestrian
622,98,65+,Female,Passenger
623,34,26-40,Male,Pedestrian
624,96,65+,Female,Passenger
625,37,26-40,Female,Motorcycle pillion passenger
626,46,41-65,Male,Passenger
627,27,26-40,Female,Pedestrian
628,55,41-65,Male,Pedal cyclist
629,29,26-40,Male,Pedal cyclist
630,52,41-65,Female,Pedestrian
631,77,65+,Female,Pedestrian
632,24,18-25,Female,Pedestrian
633,100,65+,Male,Passenger
634,72,65+,Female,Pedestrian
635,47,41-65,Female,Motorcycle rider
636,8,0-17,Male,Pedestrian
637,4,0-17,Female,Pedestrian
638,89,65+,Male,Driver
639,37,26-40,,Motorcycle rider
640,28,26-40,Female,
641,33,26-40,Female,
642,15,0-17,Male,Pedestrian
643,86,65+,Male,Pedal cyclist
644,75,65+,Male,Pedal cyclist
645,61,41-65,Male,Passenger
646,56,41-65,Male,Pedal cyclist
647,19,18-25,Female,
648,94,65+,Female,Driver
649,53,41-65,Male,Motorcycle pillion passenger
650,72,65+,Male,Passenger
651,88,65+,Male,Passenger
652,67,65+,Female,Passenger
653,39,26-40,Female,Passenger
654,22,18-25,Male,Motorcycle pillion passenger
655,1,0-17,Male,Pedestrian
656,62,41-65,Male,Passenger
657,52,41-65,Female,Motorcycle rider
658,45,41-65,Female,Pedal cyclist
659,7,0-17,Male,Passenger
660,13,0-17,Male,Driver
661,38,26-40,Female,Pedestrian
662,3,0-17,Male,Pedestrian
663,49,41-65,Female,Passenger
664,36,26-40,Female,
665,47,41-65,Male,
666,52,41-65,Male,Passenger
667,19,18-25,Male,Pedestrian
668,47,41-65,Female,Pedal cyclist
669,46,41-65,Male,
670,19,18-25,Female,Motorcycle pillion passenger
671,59,41-65,Female,Pedestrian
672,92,65+,Male,Pedestrian
673,70,65+,Female,Pedal cyclist
674,56,41-65,Male,
675,47,41-65,Female,Pedestrian
676,54,41-65,Female,Pedestrian
677,44,41-65,Male,Pedal cyclist
678,93,65+,Female,Passenger
679,27,26-40,Female,Motorcycle pillion passenger
680,32,26-40,Male,Motorcycle pillion passenger
681,90,65+,Female,Pedestrian
682,12,0-17,Female,Pedestrian
683,80,65+,Male,Pedal cyclist
684,51,41-65,Female,Pedestrian
685,98,65+,Female,Driver
686,72,65+,Female,Passenger
687,80,65+,Male,Motorcycle rider
688,39,26-40,Male,Motorcycle pillion passenger
689,23,18-25,Female,Pedestrian
690,74,65+,Male,Pedal cyclist
691,2,0-17,Female,Passenger
692,20,18-25,Male,Pedal cyclist
693,89,65+,Male,Pedal cyclist
694,81,65+,Male,Motorcycle rider
695,89,65+,Male,Pedestrian
696,79,65+,Male,Pedal cyclist
697,84,65+,Female,Motorcycle rider
698,88,65+,Male,
699,57,41-65,Female,Pedestrian
700,54,41-65,Male,Pedestrian
701,17,18-25,Female,Motorcycle pillion passenger
702,65,65+,Male,Passenger
703,94,65+,Female,Passenger
704,55,41-65,Female,Passenger
705,60,41-65,Male,Pedal cyclist
706,68,65+,Male,Pedestrian
707,58,41-65,Female,Passenger
